S:['b9', 'm1', 'j1', 'p7', 'v5', 's5', 'a0', 't7', 'x1', 'r7', 'r2', 'c2', 'g1', 'q7', 'u8', 'w8', 'o8', 't5', 'j9', 'j8', 'c1', 'e0', 'd1', 'b7', 'l0', 'w0', 'k8', 'r9', 'i2', 'g5', 'c0', 'c6']
S:['g9', 'v8', 'b6', 'm8', 'o4', 'e4', 't3', 's0', 'z7', 'h2', 'v3', 'a5', 's7', 'h8', 'w2', 'u1', 'o0', 'y6', 'n6', 'e5', 'o2', 'i0', 'w3', 'n0', 's6', 'k5', 'l6', 'j9', 'n4', 'l0', 'w8', 'c4']
R:['e5', 'f4', 's9', 'l6', 'm3', 'o7', 'x9', 'm9', 'b7', 'c5', 'a9', 'w9', 't2', 'g8', 'r5', 'n6', 'c2', 'p4', 'i4', 'k4', 'w0', 'p8', 'r3', 'w2', 'q6', 'l4', 'w8', 's7', 'e2', 'q5', 'd2', 't5']
S:['b3', 'i1', 'n7', 'j5', 'd4', 'h6', 'l2', 't0', 'q9', 'g4', 'k8', 'd1', 'v3', 'u6', 'y0', 'o2', 'f9', 'h5', 'p7', 'o1', 'r0', 'c3', 'a0', 'x9', 'h2', 'j3', 'a6', 'f1', 'g8', 'l7', 'c1', 'd9']
R:['i8', 'n9', 'h0', 'c9', 'o8', 'e1', 'e8', 'f9', 'x3', 'g4', 'q4', 'r5', 'o0', 'h1', 'p4', 'r9', 'v5', 'h6', 'e6', 'w8', 'j6', 'l7', 'x2', 'd7', 'g5', 'l8', 'j2', 'w4', 'l3', 't6', 'y2', 'z4']
S:['d7', 'q0', 'g1', 'v1', 'z7', 'f7', 'p0', 's1', 'q2', 'g9', 'p3', 'j5', 'u4', 'f1', 'm7', 'b2', 'z1', 'b3', 'i6', 'd6', 'v8', 'i9', 'p9', 'z0', 'h9', 'c1', 't7', 'b5', 'x0', 'e6', 'o0', 'y4']
R:['n8', 'v6', 'f9', 't5', 'f5', 'k6', 'j2', 'm9', 'u5', 'q8', 'r4', 'i1', 'a2', 'x9', 'c7', 'w8', 'j3', 'c9', 'z6', 'h4', 'o3', 'd4', 'l6', 'n9', 'i5', 'd7', 'r0', 'u2', 'r5', 't8', 'e4', 'm5']
S:['b6', 'v0', 'u6', 'j7', 'j6', 'y1', 's1', 'd7', 'k8', 'm5', 'a2', 'n9', 'm3', 'q5', 'k6', 'e1', 'e2', 'h7', 'f3', 'n1', 'i8', 't7', 'e5', 'j3', 'u8', 'j4', 't6', 'e9', 'y6', 'j5', 'k4', 'r9']
R:['i0', 'i7', 'z6', 'b7', 'p0', 'i5', 'w5', 'q4', 'c4', 'j2', 'k9', 'x7', 'i1', 'n6', 'f4', 'w3', 't8', 'q5', 'z4', 'r5', 's3', 'i9', 'i2', 'f5', 'q9', 'a7', 's9', 'a9', 's6', 'j3', 'h0', 'l8']
S:['f0', 's3', 'u2', 'h5', 'k9', 'v0', 'h7', 'b5', 'w1', 'n1', 's1', 'l9', 'o2', 'a5', 'u6', 'y6', 'i6', 'h6', 'v7', 'h0', 'i3', 'u5', 'e4', 'e3', 'y0', 'm3', 'p9', 'e8', 'n8', 'x9', 'o6', 'p2']
R:['z4', 'p6', 'd5', 'j4', 'e9', 'm3', 'n1', 'j2', 'd4', 'm9', 'p4', 'd2', 'x9', 'c4', 'l8', 'e1', 't6', 'n9', 'a8', 'j5', 'k5', 'o8', 'g5', 'd7', 'w7', 'd8', 'j7', 'v6', 'c9', 's9', 'r7', 'k8']
S:['n2', 'k2', 'i3', 's6', 'u2', 'x3', 'o6', 'h4', 'j5', 'c7', 'p9', 'y1', 'k1', 'f9', 'q9', 'd4', 'g5', 'b8', 'b5', 'j7', 'e1', 'j2', 'l2', 'j1', 'f1', 'o3', 'n6', 'g8', 'r4', 'f2', 'o9', 'u7']
R:['r5', 'h4', 'h6', 'k6', 't2', 'l7', 'x6', 'x7', 'v0', 'h9', 'y9', 'o2', 'i5', 'v7', 's7', 'o8', 'm3', 'e7', 'k9', 'm2', 'v5', 'j4', 'z6', 'h0', 's9', 'a1', 'w8', 'w2', 'g0', 'c3', 'l9', 'e4']
S:['f0', 'p1', 'q0', 'j2', 't0', 'x0', 'r1', 'w4', 'x3', 'k0', 'i8', 'u1', 'c7', 'n9', 'r5', 't9', 'y0', 'k1', 'l5', 'l9', 'g7', 'd4', 'a4', 'm6', 'z1', 'r4', 'e1', 'e0', 'o7', 'r9', 'h1', 'z3']
R:['c9', 'f3', 'y0', 't5', 'v7', 'd7', 'e2', 'w8', 'w5', 'o8', 'n9', 'i1', 'e6', 'w6', 'q4', 'h1', 'a0', 'a6', 't3', 'r4', 'd6', 'd9', 'x7', 'p4', 'l2', 'l4', 'z1', 'o7', 'q3', 'r9', 's3', 'h6']
S:['c0', 'r1', 'h7', 'f0', 'f4', 'w9', 'y2', 'p5', 'l6', 'c3', 'e3', 'e8', 'h5', 'j9', 'q3', 'o1', 'w8', 'd0', 'l8', 'j7', 'o7', 'x4', 'p6', 'm2', 't7', 'w5', 's7', 'h4', 'g2', 'f9', 'p0', 'u4']
R:['j5', 'd5', 'o8', 'p9', 'a5', 'a9', 't0', 'a0', 'p8', 's5', 'y9', 'w2', 'm2', 'l4', 'p4', 'a1', 'm4', 'm3', 'x6', 'u0', 'v5', 'l8', 'u3', 'd8', 'r5', 'z1', 'l6', 'k9', 'd7', 'm0', 'v7', 'u5']
S:['y0', 'd4', 'c4', 'e7', 'x9', 'n7', 'h3', 'h8', 'q7', 'r3', 'd2', 'f1', 'e1', 'z6', 'u0', 'i7', 'b8', 'p0', 'f3', 'q6', 'm7', 'a0', 'n2', 'r8', 'n6', 'e0', 'm3', 'w7', 'd0', 'u1', 'l9', 'k3']
R:['i7', 'l9', 'd9', 'k9', 'd6', 'y0', 'r7', 'v2', 'z5', 'x7', 'z1', 'l4', 'q4', 'b2', 'n5', 'l8', 'p5', 'i5', 'v7', 'w8', 'n8', 'l6', 'r3', 'g8', 'y9', 't2', 'g2', 'i0', 'e2', 'm1', 'h6', 'i1']
S:['d8', 'y5', 'm9', 'a2', 'd6', 'y2', 'k9', 'w3', 'u1', 'c4', 'o1', 'w2', 'n8', 'i6', 's7', 'l7', 'a5', 'b8', 'l6', 'k7', 's1', 's6', 'e5', 'n6', 'h3', 'z0', 'l4', 'w8', 'r4', 'q0', 'p3', 'k5']
R:['o8', 't8', 'y9', 's0', 'u0', 'm9', 'w0', 'r7', 'l8', 'f5', 'w8', 'x7', 'p8', 'a1', 'n2', 'i2', 'j3', 'z6', 't0', 'n7', 'c5', 'g0', 't3', 'p0', 'g8', 'm5', 'a8', 'b2', 'e2', 'v7', 'r3', 'c2']
S:['i3', 'f3', 'o4', 'i6', 'r0', 'y1', 'u7', 'q9', 'e2', 'w0', 'i8', 'h7', 'i2', 'i7', 's2', 'y0', 'u5', 'f8', 'y7', 'g5', 'w1', 'r7', 'h4', 'n6', 'r3', 'p8', 'j2', 'p1', 'e9', 'a8', 'c0', 'y4']
R:['z5', 'l8', 'c7', 'g9', 'q6', 'q4', 'h0', 't3', 'q5', 'n6', 'y9', 'x3', 'l2', 'z1', 'p0', 'r7', 'm5', 'n9', 'm2', 'i7', 'r5', 't8', 'g2', 'h7', 'k4', 'e4', 'l3', 'i9', 'r4', 'j1', 'w2', 'p4']
S:['g3', 't3', 's1', 'y4', 'v3', 'l6', 'v1', 'u4', 'v8', 'y0', 'm5', 'o2', 'u9', 's5', 'y1', 'q1', 'q0', 'y6', 'm7', 'x1', 'f5', 'j6', 'u2', 'g7', 'm0', 'h6', 'b8', 'c3', 'k6', 'j7', 'b1', 'p1']
R:['q1', 'i5', 'h3', 'e1', 'd7', 'x6', 'n8', 'e6', 'v6', 'f4', 'h0', 'g8', 'm4', 'j3', 'k0', 'g0', 'b7', 'm9', 'i1', 'f5', 'f3', 'r5', 'o3', 't5', 'l8', 'p4', 'z1', 'a9', 't8', 'w2', 'b2', 'e2']
S:['b0', 'q1', 'b6', 'n5', 'o1', 'x1', 'k3', 'r5', 'k4', 'a7', 'y4', 'm4', 't1', 'i6', 'a3', 'e0', 'd6', 'u8', 'k1', 'h9', 'u9', 'j0', 'l3', 'f0', 'b7', 'i1', 'r4', 'a5', 'd9', 'q5', 'y3', 'y7']
R:['o3', 'e1', 'd2', 'l3', 'n3', 'n6', 'w4', 'v4', 'a7', 'o4', 'v2', 'j6', 'j8', 'z5', 'c7', 'q3', 't2', 't3', 'o2', 'i2', 'n0', 'j3', 'i8', 'r3', 'd0', 'z7', 'q0', 'w9', 't6', 'y0', 'v5', 'k9']
S:['s1', 'k8', 'j1', 'b2', 's0', 'a3', 'v2', 'e1', 'n3', 'f0', 'd2', 'b1', 's6', 'b9', 'i4', 'g6', 'w6', 'e2', 'l1', 'z5', 'y9', 'c0', 's7', 'v6', 'd4', 'p8', 'c9', 'f3', 'x1', 'j3', 'v9', 'q2']
R:['a2', 'c9', 'c1', 'w2', 'u9', 'p5', 't6', 'v6', 'l6', 'q4', 'j4', 'e2', 'p0', 'l8', 'v5', 's5', 'r8', 'k4', 'o2', 'r5', 'a9', 'b3', 'q3', 'z1', 'c2', 'v7', 'i1', 'x7', 'h6', 'h2', 'h7', 'w0']

